author,content,rating,date
E. Dawg B.,"All pretty much good, except the app could have descriptions for what some of the buttons/options do (like the ""crosspost"" which is pretty self-explanatory but showed that I was going to post to the two groups that I selected as well as ""Public"" which I could find no explanation for anywhere!). And also, I am still wondering why they haven't fixed what seems like a glitch, with pages auto updating - especially the ones I'm looking at and planning on replying to (and then disappearing)!",4.0,2024-12-16T21:35:29Z
Geoff K,"12/11/24 With the last update, it consistently fails. It won't go to pressed tabs. Can't see notifications, messages or the like. When able to get to messages, can't reply to messages. Tried uninstalling w/ no luck. _______ This used to be a decent app. In the last few months, most images on profiles (even mine) show up as a black screen. I had the issue on my original phone, cleared the memory cache, but still had the issue. I got a replacement phone, and still have that problem. Please help!",1.0,2024-12-12T04:41:03Z
Paige Bailey,"So videos. 1. Why is the bottom half darkened? It's makes it hard to see some things. 2. Why is the countdown to next video ""cancel"" so hard to push? I keep pausing or muting the video until it ends up changing to the next one anyway. 3. When it does change to the next video why does it cut off the last second of the previous? These are short videos so it would be nice to see the whole thing. 4. Why does it immediately take me back to the next vid after trying to go back to the first?",1.0,2024-12-11T02:02:44Z
JANEE DISTURBED,"There's a lot of things that could be done better. starting with how the page jumps and you lose EVERYTHING while you're working on a message. That gets lost. Or like right now as I type this, the box is jumping all over the place! How do you make it stop? And the Draft situation has GOT to be fixed. I can save a draft or hope that my message drafts and it doesn't. Instead, it gets lost in no man's land. But that never happens. And a bunch of work ends up for naught. Wasted time too.",1.0,2024-11-16T15:10:30Z
Anna Patterson,"Tabs is a useless feature. There is no information about it in the help center or online. No matter what link you hit, even by accident, it remains open in tabs! There is 0 way to access tabs without clicking on a random link. From there you can see what links are open and close them. If you forget, well, then you have to find another random link to click. I can't even find where I can report this to the help center anymore. So, I came here.",1.0,2024-12-15T20:47:44Z
Blackstone Cherry,"Don't use the dating app. It's as broken as the rest of it. Matches from outside preferences (must have on) and wonky interface. Notification. Notification. Notification. Oh none of these have a single thing to do with me. I can only turn every single notification off using my phone's ability to block app notifications, but the others either dont have options for in the notification settings or negate the fact it's supposed to be off in the first place",1.0,2024-11-23T08:04:33Z
Angel Avalos Aguilar,"I like Facebook. Its a very good app. But there are a few glitches, like sometims, you're feed doesn't refresh, and you're stuck with the same posts/feed over and over again, no matter if you refresh or reopen the app. And thats another thing. While that glitch is happening, you can't refresh Facebook, it glitches out, and the refresh circle that pops up goes very fast. Its annoying. Also, I try and get my feed to change, by clicking ""show less"", ""hide reels"" etc, but the stuff keeps coming back",3.0,2024-10-22T23:33:44Z
Bridget Phillippi,"I would have to say I use Facebook everyday to talk to people but I noticed since I've updated it, it won't allow me to see my cover picture nor anybody else's at that matter as well🤦🏻‍♀️ not sure what to do. I've uninstalled it completely as well and it didn't fix the cover picture problem but its quite frustrating. Any help is appreciated, thanks! I will change to a 5 star if someone can help me get the cover photos thing fixed.",2.0,2024-11-09T10:49:23Z
Leona Dorothy,"A lot of bugs. Cannot properly respond to events (overlay sheet is all white with no options), for example. Reporting them doesn't seem to get them fixed, either. Also, why is this app so bloated ?! Internal browser is awful and now is accumulating tabs that don't close. Keep hoping it'll improve, but keeps deteriorating.",1.0,2024-11-02T21:52:31Z
Lacey Myers-Davis,I use Facebook pretty much on a daily basis for a blog. It's a great place to connect with family and friends. And post all kinds of amazing moments in life ❤️ the only thing I don't like is even whenever Facebook doesn't need to be updated it still manages to show posts from a week ago. Even after 2 days of not being on Facebook. I really wish they would fix this or make it to where the if it acts like this make it happen early update of some type,4.0,2024-11-30T18:40:09Z
