author,content,rating,date
Jennifer Luke,"New update is absolute garbage. I just want to see my friends' stories, not ads and random ""discover"" stories. Put things back where they were. Keep stories and chat separate. edit 4/28/25: the app is somehow worse! Now it won't save my notification preferences and keeps spamming me with stories and updates from people I don't know or follow. it's gotten so bad I've turned off notifications all together",1.0,2025-04-28
John Walton,"Dumb app, extremely basic, annoying to use, but some people I know outright REFUSE to communicate any other way, so I'm here. My real issue is that today, I have been unable to load snaps, and several that I want to send just aren't sending. I also can't view my friends list at all. I've got a perfect wifi connection, so it has to be the app; what's going on?",2.0,2025-04-13
Skylar Williams,"been using snap for awhile now, on a texting side of things it's fine but over time I've watched the app just get worse. I keep getting notifications about people's story's that I don't have added or notifications on, there's adds in my chat feeds now which is just low. I can't go to the discover tab and see anything interesting anymore just the stuff I want to see (cars videos, cats, ect.) is just soft core porn every other section in it. Just over time it became very annoying to use.",2.0,2025-04-10
Big Dad,"It's so slow and drains a lot of battery. It uses a lot of data and the camera is so bad compared to my actual camera on my phone. I guess you guys updated the app recently, and my camera keeps freezing. I have a galaxy s20fe and most of the filters that effect your face are laggy, but other androids and iPhones run it perfectly. Please fix. this is my favorite app to use and it's the slowest and worst app I have.",2.0,2025-03-26
JB XP,"The ads have increased SUBSTANTIALLY. Which is fine, they have to make money too. However, they are quite intrusive ads now. Also, the discover tab has moved finally, but it's still just blatantly in the way and you see some borderline inappropriate stuff pop up. Finally my biggest annoyance lately is the auto opening to front facing camera. It's quite annoying having to constantly flip it back to rear facing",3.0,2025-03-11
Valerie Smith,I installed this app to keep up with a few people that live hours away. All was fine until recently when I started receiving notifications every five minutes. It's usually for people I don't follow and couldn't care less about seeing their content. And if I delete the notifications the same ones pop right back up in seconds. It's intrusive and annoying!!!,1.0,2025-02-16
Jake Von Klapp (Jake),"My favorite and most used app on my phone.. I can only give 1 star though, forcing ads into my messages is so ridiculous and unnecessary. You have ads between friends stories, every like 5 to 10 seconds in every single video.. Throwing ads in my messages, moving people around, causing me to send things to the wrong people, that's trash.. you're about a step or 2 away from just being an ad app. Fix it",1.0,2025-03-24
Perri Pierce,My only complaint is that the songs I want to add to Snaps are NEVER available. Should be adding the artist's whole catalog instead of bits and pieces. Edit: Bring back the option to where we can block Team Snapchat. I don't care what they have to say at all. Edit 2: It would also help if we can choose which parts of the song we want to use instead of it being limited to a 15-30 second audio clip. Also ads need to stop popping up in the message section. Shouldn't have to pay for that option.,3.0,2025-02-27
gabby bove,I don't know if this app has a bug or something because I have turned off every notification possible for quick add and contacts and I'm still getting notifications in app and it won't disappear and it's annoying as hell.. Update 3/19/25. still get random notifications that won't go away. its annoying to deal with the stupid MY AI that you can't delete or at least get it off the top of your list. Anddd getting friend suggestions is fine but the notification doesn't go away for nothinggggg.,1.0,2025-03-19
Gabriela Grajeda,I do not like the new features. I'm tired of turning closed caption on every single story. I would appreciate it if you put it on and off in the main setting so that way I do not need to turn it on for each reel or story. I wouldn't rate this 5/5 because of reel and stories. impacts mental health or addicted to scrolling.,3.0,2025-03-20
