author,content,rating,date
Jason,"Pixel 9 pro: if viewing a photo on a profile, the swipe back gesture doesn't work. The screen just flickers and nothing nothing happens. It's only in the Facebook app when viewing photos. Swipe works on all other apps. This is a Facebook app issue. It's happening to other pixel users. I am not able to use the back button at the top of the screen that shows up in the app. The top of the screen is greyed out. It's 2025 Facebook devs, base Android should have a working app!",1.0,2025-01-03
Richard Mathes,"Forced ads in the middle of a video or short isn't the way... super irritating and completely unacceptable to me. I spend 99% of my time watching videos if I'm on Facebook, and I will not be doing it anymore until forced ads are removed. I don't mind seeing them when I am scrolling through videos, but pausing a video to make me watch an ad is ridiculous.",1.0,2025-01-11
Alyssa Moore,"New post... its now 1/1/25 and I am here yet again because for the last week videos won't play in fb. They will play for a very short time and then the ""loading"" circle will appear and then ""there was a problem"" error message. Why does fb NEVER work! I tried uninstall ingredients. It didnt fix it. The last 3 days fb is completely glitchy. SLOW. Won't load anything correctly. I can't select the emotions on people posts, they are all grayed out. Why does this happen so often 😕",2.0,2025-01-01
Will Marsh,"One of the most important app features (in my opinion) no longer works. I have ""Never Autoplay Videos"" set and videos are never supposed to start with sound, yet my app ignores these setting daily. Between that and an algorithm that increasingly prioritizes ads and weird influencer posts I couldn't care less about, Facebook is becoming worthless. Bold of these problems to keep increasing as Bluesky continues to grow.",1.0,2025-01-01
James M,Badly designed... The Facebook app has so much potential to be a good social media platform but every time I'm on Facebook the more and more I want to stay away from it. Videos lag. ALWAYS. No matter what it is it lags and it's very frustrating. Even turning video quality still lags. Ai shill everywhere. They promote the use of ai in their ads to their META space. Terrible bad ai generation. Censorship is another big issue killing social media platforms as a whole.,2.0,2024-12-30
Brandon Rouse,"The last two updates broke the pinch-to-zoom abilities on images & pictures on my phone. Being unable to zoom in on pictures is very frustrating. Especially if I have to take a screenshot to see a friend's picture more clearly. My vision isn't the greatest, so being able to zoom in on images is important. In fact, sometimes when you click on a picture it gets even smaller. Like it shrinks. Kinda like the pictures did if they were the wrong format in 2008. Please fix this issue, Thank you!!",1.0,2025-01-09
C J,"It varies. Bug: Cannot tap ""more notifications"" as the link is inaccessible behind the translucent Android nav UI at the bottom of the screen. Many taps required in every session to prioritize your ""friends"" feed over AI clickbait & manipulative clutter. Algorithms need to be less sociopathic. Empower ""the least of mine"" rather than the predators, so we can all build a better world for each person, together.",2.0,2024-12-31
Jason,"Pixel 9 pro: if viewing a photo on a profile, the swipe back gesture doesn't work. The screen just flickers and nothing nothing happens. It's only in the Facebook app when viewing photos. Swipe works on all other apps. This is a Facebook app issue. It's happening to other pixel users. I am not able to use the back button at the top of the screen that shows up in the app. The top of the screen is greyed out. It's 2025 Facebook devs, base Android should have a working app!",1.0,2025-01-03
Shelby Denham,"since when does pushing ""back"" after watching a video bring you all the way back to the top of your feed? so freaking annoying. Whether you push the back button on your phone or the back button on the top left of the vid, same thing. fix that. completely defeats the purpose of ""scrolling"". if you make a business off of people's addiction to scrolling dont make it hard for people to do so. get it together.",1.0,2025-01-02
Allen O'Leary,"All I want to see on the page is content from stuff I follow. When I scroll through the page, most posts are from Suggested. I don't want to see that. It takes too much effort to see posts from stuff I follow. And please, let us open links to external browser. Why does the Facebook browser even have tabs? I click Back, you'd think that closes the browser. Nope! That tab is still there. Using this app is a chore. I use it less and less, but that might be Facebook's goal. Thanks, I guess.",1.0,2024-12-30
Joshua Schwerzler,"Not as good as it used to be. Sometimes it will randomly activate from its background app and start playing reels with no user stimulus to cause it to do so. It sometimes keeps playing stuff even when moved into the background apps and the AI algorithms are poor. I keep saying I do not want to see certain content and it keeps showing it to me and when I say to show more like this, it does not. Additionally the algorithm that looks at reported posts fails to find hate speech and violence in reels",1.0,2025-01-07
Onthisdayhistory1,"Cannot add images to photo album directly or it will not post. I have to go to ""Create a post"" then select the album and go from there. It's dumb they even have the option to go directly to the photo album, click on it and it has a button for ""upload images"" that doesn't even work. What's the point of having a broken button? This has not been fixed for several years, even on computer doing it this way does not work. Another thing, ""friend mentioned you in a comment"" I go to it, broken as well!",1.0,2025-01-04
Jasper Von Diesel,"The single worst App on earth. All intrusive. Manipulative, disingenuous, and a huge resource hog. All the default settings grant it unbelievable access to your personal data, pictures, any media. By the time you realize it and change the settings it's already too late. And once it has your personal pictures it's impossible to even delete them. My profile shows me to have 11,000 photos on it. Can't get them back. Good luck trying to get any sort of response from the company. cuz they suck.",1.0,2025-01-07
Dylan Rinehart,"Over the past few months I have had multiple login attempt notifications from an unknown person (attempted hacking). I attempted to change my password, but could not because I had not used the current device long enough (I have had this phone for about two years). Now, I am locked out of Facebook and Messenger due to these log in attempts and am waiting for account verification. I contacted support for password assistance over the past few months with no help received. Horrible technical support",1.0,2025-01-10
Brandon Rouse,"The last two updates broke the pinch-to-zoom abilities on images & pictures on my phone. Being unable to zoom in on pictures is very frustrating. Especially if I have to take a screenshot to see a friend's picture more clearly. My vision isn't the greatest, so being able to zoom in on images is important. In fact, sometimes when you click on a picture it gets even smaller. Like it shrinks. Kinda like the pictures did if they were the wrong format in 2008. Please fix this issue, Thank you!!",1.0,2025-01-09
C J,"It varies. Bug: Cannot tap ""more notifications"" as the link is inaccessible behind the translucent Android nav UI at the bottom of the screen. Many taps required in every session to prioritize your ""friends"" feed over AI clickbait & manipulative clutter. Algorithms need to be less sociopathic. Empower ""the least of mine"" rather than the predators, so we can all build a better world for each person, together.",2.0,2024-12-31
